anio,poblacion_total,poblacion_hombres,poblacion_mujeres,pib_per_capita_eur_corriente,pib_total_usd_corriente,eurusd_media_anual,pib_total_eur_corriente,pib_total_eur_fuente,gasto_publico_eur_corriente,deflactor_hasta_1986,inflacion_anios_faltantes,pib_total_eur_a_1986,gasto_publico_eur_a_1986,presion_gasto_real_1986,presion_gasto_real_1986_pct,pib_per_capita_eur_a_1986,gasto_publico_per_capita_eur_a_1986,gasto_publico_per_capita_pct_1986
1986,38584624,,,5478.5,251141555185.93,1.19,211529848651,usd_fx_exspus,73574517453.39,1,0,211529848651,73574517453.39,0.35,34.78,5482.23,1906.84,34.78
1987,38684815,,,6110.25,318520253335.13,1.35,236442380506.57,usd_fx_exspus,80533563629.15,0.95,0,224652571680.98,76517890477.84,0.34,34.06,5807.25,1977.98,34.06
1988,38766939,,,6788.3,375891716897.59,1.43,263161402576,usd_fx_exspus,85149847018.38,0.91,0,238502292414.58,77171019434.62,0.32,32.36,6152.21,1990.64,32.36
1989,38827764,,,7594.79,414460794096.98,1.41,294771848818.15,usd_fx_exspus,94656309491.18,0.85,0,250161196193.62,80331061817.9,0.32,32.11,6442.84,2068.91,32.11
1990,38867322,,,8450.83,536175326477.31,1.63,328545121574.06,usd_fx_exspus,,0.8,0,261261695809.06,,,,6721.89,,
1991,38966376,,,9243.43,576753902321.86,1.6,360045115440.41,usd_fx_exspus,108974946666.19,0.75,0,270272211740.53,81803359070.01,0.3,30.27,6936.04,2099.33,30.27
1992,39157685,,,9906.75,630465353486.1,1.62,388292354589.29,usd_fx_exspus,132795127781.18,0.71,0,275173596980.27,94108762485.56,0.34,34.2,7027.32,2403.33,34.2
1993,39361262,,,10196.41,524700572623.87,1.31,401479117243.64,usd_fx_exspus,145721113092.45,0.68,0,272086897862.6,98756831704.27,0.36,36.3,6912.56,2508.99,36.3
1994,39549108,,,10792.93,530183651720.28,1.24,426638845507.06,usd_fx_exspus,163628169160.87,0.65,0,276109919346.51,105896031422.38,0.38,38.35,6981.44,2677.58,38.35
1995,39724050,,,11586.41,614170002668.8,1.33,460238691803.54,usd_fx_exspus,172915344644.38,0.62,0,284555336980.78,106909708029.14,0.38,37.57,7163.3,2691.31,37.57
1996,39889852,,,12257.4,642251412058.32,1.31,488969822172.53,usd_fx_exspus,,0.6,0,291929823592.35,,,,7318.4,,
1997,40057389,,,12955.69,589739772727.27,1.14,519084373778.63,usd_fx_exspus,183094151364.9,0.59,0,303918663230.51,107199778184.57,0.35,35.27,7587.08,2676.15,35.27
1998,40223509,,,13811.8,618731484575.12,1.11,555461114938.32,usd_fx_exspus,186196653185.97,0.57,0,319358784151.89,107052564392.78,0.34,33.52,7939.61,2661.44,33.52
1999,40386875,,,14738.5,634394904386.87,1.07,594726637655.27,usd_fx,194106024599.43,0.56,0,334212764701.06,109079881443.13,0.33,32.64,8275.28,2700.87,32.64
2000,40567864,,,15962.61,598102854756.08,0.92,647723903460.34,usd_fx,202306570715.08,0.54,0,351912165321.47,109914336924.68,0.31,31.23,8674.65,2709.39,31.23
2001,40850412,,,17159.14,627798682378.74,0.9,701059388474.31,usd_fx,,0.52,0,367690177160,,,,9000.89,,
2002,41035272,20115523,20919749,18095.96,708938227243.92,0.95,749954488123.55,usd_fx,214208303270,0.51,0,381634959518.23,109005784272.93,0.29,28.56,9300.17,2656.39,28.56
2003,41827836,20542468,21285368,19026.49,907963217057.65,1.13,802294363586.89,usd_fx,211515071950,0.49,0,396228599195.13,104460811980.18,0.26,26.36,9472.84,2497.4,26.36
2004,42547455,20924583,21622872,20037.77,1069829382514.67,1.24,860077887661.28,usd_fx,220517415170,0.48,0,412237196809,105694475327.62,0.26,25.64,9688.88,2484.16,25.64
2005,43296331,21335280,21961051,21261.28,1154667551775.88,1.24,927704617182.24,usd_fx,249537829990,0.46,0,430159559063.17,115706099689.48,0.27,26.9,9935.24,2672.42,26.9
2006,44009967,21719316,22290651,22635.96,1261846683275.29,1.26,1004668334193.89,usd_fx,269831745510,0.45,0,450025240039.77,120866849198.47,0.27,26.86,10225.53,2746.35,26.86
2007,44784657,22118968,22665689,23825.27,1476746276854.51,1.37,1077209334637.47,usd_fx,291191166300,0.44,0,469436583463.79,126898070641.68,0.27,27.03,10482.09,2833.52,27.03
2008,45668937,22591484,23077453,24207.46,1636115447612.5,1.47,1112663094707.4,usd_fx,314322266910,0.42,0,465899939757.04,131614615344.26,0.28,28.25,10201.68,2881.93,28.25
2009,46239273,22880536,23358737,23143.27,1496587590847.66,1.39,1074163746264.57,usd_fx,350213281510,0.42,0,451077557351.44,147066359412.07,0.33,32.6,9755.29,3180.55,32.6
2010,46486616,22982269,23504347,23126.16,1427989078916.67,1.33,1075616962124.64,usd_fx,350695865780,0.41,0,443701780489.95,144665234499.17,0.33,32.6,9544.72,3111.98,32.6
2011,46667173,23049477,23617696,22863.25,1487568659241.25,1.39,1068623658947.89,usd_fx,315991525110,0.4,0,427164370798.35,126312308239.66,0.3,29.57,9153.42,2706.66,29.57
2012,46818214,23099008,23719206,22148.73,1330994811670.31,1.29,1034706581933.62,usd_fx,311776637580,0.39,0,403730816720.09,121651721098.74,0.3,30.13,8623.37,2598.38,30.13
2013,46712650,23013226,23699424,22007.72,1362186923157.65,1.33,1025357111898.87,usd_fx,345445693910,0.38,0,394525546899.75,132916766005.18,0.34,33.69,8445.8,2845.41,33.69
2014,46495744,22874710,23621034,22361.87,1380244561361.96,1.33,1038617349633.7,usd_fx,,0.39,0,400232484899.74,,,,8607.94,,
2015,46425722,22822721,23603001,23417.88,1206164777553.12,1.11,1086594146663.97,usd_fx,347843340850,0.39,0,420826072553.54,134715935515.78,0.32,32.01,9064.5,2901.75,32.01
2016,46418884,22806445,23612439,24171.59,1243015667917.12,1.11,1123190013328.52,usd_fx,351856294760,0.39,0,435882341841.97,136546749821.37,0.31,31.33,9390.19,2941.62,31.33
2017,46497393,22831107,23666286,25123.32,1321754088818.83,1.13,1170013135282.19,usd_fx,,0.38,0,445342010947.96,,,,9577.78,,
2018,46645070,22889600,23755470,25913.29,1431642809327.06,1.18,1211767581638.72,usd_fx,355111179210,0.37,0,453636672944.82,132939233812.88,0.29,29.31,9725.29,2850.02,29.31
2019,46918951,23016783,23902168,26607.6,1403496387686.27,1.12,1253560147688.2,usd_fx,368369027860,0.37,0,466022202113.35,136944482377.06,0.29,29.39,9932.49,2918.75,29.39
2020,47318050,23210668,24107382,23843.49,1289783836971.21,1.14,1130084116565.26,usd_fx,,0.37,0,421479219543.37,,,,8907.37,,
2021,47400798,23248611,24152187,26040.78,1461244901852.69,1.18,1234828758704.55,usd_fx,456073237410,0.36,0,446727188186.81,164994792613.32,0.37,36.93,9424.47,3480.84,36.93
2022,47486727,23288747,24197980,28745.37,1446498147749.03,1.05,1372671309170.79,usd_fx,458969567590,0.33,0,458153153458.16,153189152660.09,0.33,33.44,9648.03,3225.94,33.44
2023,48085361,23565593,24519768,30990.46,1620090734956.89,1.08,1497761097332.28,usd_fx,485985812220,0.32,0,482848126305.89,156672074912.1,0.32,32.45,10041.48,3258.21,32.45
2024,48619695,23826871,24792824,32610.54,1722745978335.16,1.08,1592456496019.19,usd_fx,,0.32,1,513376022849.07,,,,10559.01,,
2025,,,,,,1.12,,,,0.32,2,,,,,,,
