anio;estado_ejercicio;ambito_legal;moneda_original;tipo_fila;numero_tramo;limite_inferior;limite_superior;limite_inferior_eur;limite_superior_eur;cuota_acumulada_en_limite_inferior;cuota_acumulada_en_limite_inferior_eur;tipo_marginal_pct;fuente_principal_url
1990;cerrado;escala_general_nacional_unificada;ESP;banda_cuota_cero_implicita;;0;648900;0;3899.97;0;0;0;https://www.boe.es/buscar/doc.php?id=BOE-A-1989-30591
1990;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;1;648900;1081500;3899.97;6499.95;0;0;25;https://www.boe.es/buscar/doc.php?id=BOE-A-1989-30591
1990;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;2;1081500;1622250;6499.95;9749.92;108150;649.99;26;https://www.boe.es/buscar/doc.php?id=BOE-A-1989-30591
1990;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;3;1622250;2163000;9749.92;12999.89;248745;1494.99;27;https://www.boe.es/buscar/doc.php?id=BOE-A-1989-30591
1990;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;4;2163000;2703750;12999.89;16249.86;394748;2372.48;28;https://www.boe.es/buscar/doc.php?id=BOE-A-1989-30591
1990;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;5;2703750;3244500;16249.86;19499.84;546158;3282.48;30;https://www.boe.es/buscar/doc.php?id=BOE-A-1989-30591
1990;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;6;3244500;3785250;19499.84;22749.81;708383;4257.47;32;https://www.boe.es/buscar/doc.php?id=BOE-A-1989-30591
1990;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;7;3785250;4326000;22749.81;25999.78;881423;5297.46;34;https://www.boe.es/buscar/doc.php?id=BOE-A-1989-30591
1990;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;8;4326000;4866750;25999.78;29249.76;1065278;6402.45;36;https://www.boe.es/buscar/doc.php?id=BOE-A-1989-30591
1990;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;9;4866750;5407500;29249.76;32499.73;1259948;7572.44;38.5;https://www.boe.es/buscar/doc.php?id=BOE-A-1989-30591
1990;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;10;5407500;5948250;32499.73;35749.7;1468136;8823.68;41;https://www.boe.es/buscar/doc.php?id=BOE-A-1989-30591
1990;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;11;5948250;6489000;35749.7;38999.68;1689844;10156.17;43.5;https://www.boe.es/buscar/doc.php?id=BOE-A-1989-30591
1990;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;12;6489000;7029750;38999.68;42249.65;1925070;11569.9;46;https://www.boe.es/buscar/doc.php?id=BOE-A-1989-30591
1990;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;13;7029750;7570500;42249.65;45499.62;2173815;13064.89;48.5;https://www.boe.es/buscar/doc.php?id=BOE-A-1989-30591
1990;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;14;7570500;8111250;45499.62;48749.59;2436079;14641.13;51;https://www.boe.es/buscar/doc.php?id=BOE-A-1989-30591
1990;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;15;8111250;8652000;48749.59;51999.57;2711861;16298.61;53.5;https://www.boe.es/buscar/doc.php?id=BOE-A-1989-30591
1990;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;16;8652000;;51999.57;;3001163;18037.35;56;https://www.boe.es/buscar/doc.php?id=BOE-A-1989-30591
1991;cerrado;escala_general_nacional_unificada;ESP;banda_cuota_cero_implicita;;0;648900;0;3899.97;0;0;0;https://www.boe.es/buscar/doc.php?id=BOE-A-1990-31180
1991;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;1;648900;1081500;3899.97;6499.95;0;0;25;https://www.boe.es/buscar/doc.php?id=BOE-A-1990-31180
1991;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;2;1081500;1622250;6499.95;9749.92;108150;649.99;26;https://www.boe.es/buscar/doc.php?id=BOE-A-1990-31180
1991;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;3;1622250;2163000;9749.92;12999.89;248745;1494.99;27;https://www.boe.es/buscar/doc.php?id=BOE-A-1990-31180
1991;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;4;2163000;2703750;12999.89;16249.86;394748;2372.48;28;https://www.boe.es/buscar/doc.php?id=BOE-A-1990-31180
1991;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;5;2703750;3244500;16249.86;19499.84;546158;3282.48;30;https://www.boe.es/buscar/doc.php?id=BOE-A-1990-31180
1991;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;6;3244500;3785250;19499.84;22749.81;708383;4257.47;32;https://www.boe.es/buscar/doc.php?id=BOE-A-1990-31180
1991;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;7;3785250;4326000;22749.81;25999.78;881423;5297.46;34;https://www.boe.es/buscar/doc.php?id=BOE-A-1990-31180
1991;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;8;4326000;4866750;25999.78;29249.76;1065278;6402.45;36;https://www.boe.es/buscar/doc.php?id=BOE-A-1990-31180
1991;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;9;4866750;5407500;29249.76;32499.73;1259948;7572.44;38.5;https://www.boe.es/buscar/doc.php?id=BOE-A-1990-31180
1991;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;10;5407500;5948250;32499.73;35749.7;1468136;8823.68;41;https://www.boe.es/buscar/doc.php?id=BOE-A-1990-31180
1991;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;11;5948250;6489000;35749.7;38999.68;1689844;10156.17;43.5;https://www.boe.es/buscar/doc.php?id=BOE-A-1990-31180
1991;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;12;6489000;7029750;38999.68;42249.65;1925070;11569.9;46;https://www.boe.es/buscar/doc.php?id=BOE-A-1990-31180
1991;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;13;7029750;7570500;42249.65;45499.62;2173815;13064.89;48.5;https://www.boe.es/buscar/doc.php?id=BOE-A-1990-31180
1991;cerrado;escala_general_nacional_unificada;ESP;tramo_principal;14;7570500;8111250;45499.62;48749.59;2436079;14641.13;51;https://www.boe.es/buscar/doc.php?id=BOE-A-1990-31180
