Fecha,Deuda_total_MEUR,Deuda_pct_PIB,Deuda_per_capita_EUR
2025,1698225,100.7,34259
2024,1620573,101.6,33008
2023,1575377,105.2,32396
2022,1504105,109.3,31304
2021,1429404,115.7,30101
2020,1346916,119.3,28417
2019,1224364,97.7,25867
2018,1209742,99.8,25774
2017,1184148,101.2,25379
2016,1145655,102.0,24623
2015,1114129,102.5,23991
2014,1085165,104.4,23362
2013,1025805,100.0,22055
2012,927813,89.6,19856
2011,743043,69.5,15871
2010,649153,60.3,13910
2009,569535,53.1,12252
2008,440621,39.6,9529
2007,384662,35.7,8423
2006,392132,39.0,8756
2005,393479,42.4,8941
2004,389888,45.3,9005
2003,382775,47.7,8996
2002,384145,51.2,9184
2001,378883,54.1,9233
2000,374557,57.8,9211
1999,362223,60.9,8950
1998,346417,62.4,8595
1997,333627,64.3,8311
1996,319976,65.4,8005
1995,283457,61.6,7121
1994,249508,57.02,6294
1993,225627,54.57,5718
1992,174047,44.13,4433
1991,152672,41.86,3910
1990,136775,41.3,3518
1989,117061,39.87,3013
1988,100796,38.5,2598
1987,98919,41.92,2554
1986,88955,42.07,2302
1985,75769,40.87,1966
1984,59926,36.02,1560
1983,43817,29.52,1145
1982,31769,24.43,834
1981,22017,19.45,581
1980,15997,16.11,425
