id,id_politica,anio,politica,presupuesto,fuente
1,X999,1986,"Alta Dirección del Estado y del Gobierno",12960358000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
2,X999,1986,"Administración General",27231094000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
3,X999,1986,"Relaciones Exteriores",41362891000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
4,01,1986,Justicia,84890114000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
5,02,1986,Defensa,606338666000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
6,X999,1986,"Seguridad y Protección Civil",276424306000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
7,X999,1986,"Seguridad Social y Protección Social",4346187917000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
8,X999,1986,"Promoción Social",110685542000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
9,13,1986,Sanidad,1075689795000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
10,14,1986,Educación,521814229000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
11,X999,1986,Vivienda,65339488000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
12,X999,1986,"Bienestar Comunitario",19324111000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
13,15,1986,Cultura,51528092000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
14,X999,1986,"Otros Servicios Comunitarios y Sociales",27075585000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
15,X999,1986,"Infraestructuras Básicas y del Transporte",402613844000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
16,X999,1986,Comunicaciones,99480722000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
17,X999,1986,Infraestructuras,93982404000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
18,X999,1986,"Investigación Científica, Técnica y Aplicada",83953295000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
19,X999,1986,"Información Estadística Básica",16723749000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
20,X999,1986,"Actuaciones Económicas Generales",17669093000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
21,X999,1986,Comercio,19235944000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
22,X999,1986,"Actividad Financiera",1132043484000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
23,X999,1986,"Agricultura, Ganadería y Pesca",361843063000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
24,X999,1986,Industria,152530238000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
25,X999,1986,Energía,19385369000.00,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-26831
