id_politica,anio_inicio,anio_fin,num_registros,politica
01,1986,2023,32,Justicia
02,1986,2023,32,Defensa
03,2005,2023,16,Seguridad ciudadana e instituciones penitenciarias
04,2022,2023,2,Política exterior y de Cooperación para el Desarrollo
05,2005,2023,16,Pensiones
06,2005,2023,16,Otras prestaciones económicas
07,2005,2023,16,Servicios sociales y promoción social
08,2005,2023,16,Fomento del empleo
09,2005,2023,16,Desempleo
10,2005,2023,15,Acceso a la vivienda y fomento de la edificación
11,2021,2023,3,Gestión y administración de trabajo y economía social
12,2021,2023,3,"Gestión y administración de la inclusión, de la Seguridad Social y de la migración"
13,1986,2023,32,Sanidad
14,1986,2023,32,Educación
15,1986,2023,32,Cultura
16,2002,2023,19,"Agricultura, pesca y alimentación"
17,2005,2023,16,Industria y energía
18,2005,2023,16,"Comercio, turismo y PYMES"
19,2005,2023,15,Subvenciones al transporte
20,2021,2023,3,Infraestructuras y ecosistemas resilientes
21,2021,2023,3,"Investigación, desarrollo, innovación y digitalización"
22,2005,2023,16,Otras actuaciones de carácter económico
23,2019,2023,4,"Órganos constitucionales, Gobierno y otros"
24,2005,2023,16,Servicios de carácter general
25,2005,2023,16,Administración financiera y tributaria
26,2005,2023,16,Transferencias a otras Administraciones Públicas
27,1986,2023,29,Deuda Pública
X999,1986,2021,466,Política exterior
