politica,apariciones,anio_inicio,anio_fin
administración general,16,1986,2004
alta dirección del estado y del gobierno,16,1986,2004
bienestar comunitario,16,1986,2004
comunicaciones,16,1986,2004
energía,16,1986,2004
industria,16,1986,2004
"investigación científica, técnica y aplicada",16,1986,2004
minería,16,1986,2004
otros servicios comunitarios y sociales,16,1986,2004
promoción social,16,1986,2004
relaciones exteriores,16,1986,2004
seguridad y protección civil,16,1986,2004
turismo,16,1986,2004
información básica y estadística,14,1988,2004
infraestructuras,14,1986,2019
infraestructuras agrarias,14,1988,2004
infraestructuras básicas y transportes,14,1988,2004
política exterior,14,2005,2021
regulación económica,14,1988,2004
regulación financiera,14,1988,2004
seguridad y protección social,14,1988,2004
transferencias a administraciones públicas territoriales,14,1986,2004
vivienda y urbanismo,14,1988,2004
"agricultura, ganadería y pesca",13,1986,2000
gestión y administración de la seguridad social,13,2005,2019
"investigación, desarrollo e innovación",13,2005,2019
protección y seguridad nuclear,13,1989,2004
alta dirección,12,2005,2018
comercio,10,1986,2004
relaciones financieras con la unión europea,7,1997,2004
regulación comercial,6,1988,1994
relaciones financieras y transferencias a las comunidades europeas,4,1988,1993
gastos financieros de la deuda pública,3,1989,1992
actividad financiera,2,1986,1987
actuaciones económicas generales,2,1986,1987
desarrollo empresarial,2,1986,1987
información estadística básica,2,1986,1987
infraestructuras básicas y del transporte,2,1986,1987
reconversión industrial y reindustrialización,2,1986,1987
seguridad social y protección social,2,1986,1987
transferencias a admones. públicas territoriales,2,2002,2003
vivienda,2,1986,1987
acceso vivienda y fomento de la edificación,1,2010,2010
infraestructura,1,1987,1987
relaciones financieras con comunidades europeas,1,1994,1994
relaciones financieras con las comunidades europeas,1,1995,1995
relaciones financieras y transferencias a la cee,1,1991,1991
subvención al transporte,1,2010,2010
