anio,deflactor_hasta_1986,pib_per_capita_eur_a_1986,pib_per_capita_pct_desde_1995,total_nacional_vivienda_m2_eur_corriente,total_nacional_vivienda_m2_eur_a_1986,total_nacional_vivienda_m2_pct_desde_1995,andalucia_vivienda_m2_eur_corriente,andalucia_vivienda_m2_eur_a_1986,andalucia_vivienda_m2_pct_desde_1995,cataluna_vivienda_m2_eur_corriente,cataluna_vivienda_m2_eur_a_1986,cataluna_vivienda_m2_pct_desde_1995,madrid_vivienda_m2_eur_corriente,madrid_vivienda_m2_eur_a_1986,madrid_vivienda_m2_pct_desde_1995,comunidad_valenciana_vivienda_m2_eur_corriente,comunidad_valenciana_vivienda_m2_eur_a_1986,comunidad_valenciana_vivienda_m2_pct_desde_1995,pais_vasco_vivienda_m2_eur_corriente,pais_vasco_vivienda_m2_eur_a_1986,pais_vasco_vivienda_m2_pct_desde_1995
1995,0.62,7163.3,0.0,683.025,423.4755,0.0,509.52500000000003,315.9055,0.0,746.075,462.5665,0.0,1089.5,675.49,0.0,484.25,300.235,0.0,919.775,570.2605,0.0
1996,0.6,7318.4,2.1652031884745737,692.3,415.37999999999994,-1.9116808410404085,507.45,304.46999999999997,-3.6199116507943163,763.925,458.35499999999996,-0.9104636846810288,1080.975,648.5849999999999,-3.983034537891028,502.79999999999995,301.67999999999995,0.48128965643576826,952.15,571.29,0.1805315290117404
1997,0.59,7587.08,5.91598844108161,711.65,419.8735,-0.8505804940309503,513.0,302.66999999999996,-4.1897023002132165,790.95,466.6605,0.8850619316357777,1053.5,621.5649999999999,-7.983093754163651,520.025,306.81474999999995,2.1915332989158376,950.325,560.69175,-1.6779612124634302
1998,0.57,7939.61,10.83732357991427,752.95,429.18149999999997,1.3474215155304003,541.175,308.4697499999999,-2.3537893452314385,847.375,483.00374999999997,4.418229595096035,1062.675,605.72475,-10.328095160550122,558.125,318.13124999999997,5.96074741452528,1012.05,576.8684999999999,1.1587686680034626
1999,0.56,8275.28,15.523292337330563,810.65,453.96400000000006,7.1995900589290285,590.9,330.904,4.7477805862829126,964.075,539.8820000000001,16.714461596332654,1124.825,629.902,-6.748878591837027,618.925,346.598,15.442236914417041,1179.55,660.548,15.832676469788808
2000,0.54,8674.65,21.098516047073268,880.225,475.32150000000007,12.242975095371534,666.05,359.667,13.852718613636018,1092.375,589.8825,27.523826303893607,1251.1,675.594,0.01539623088424591,700.9,378.486,26.063250453811172,1428.85,771.579,35.30290104259368
2001,0.52,9000.89,25.652841567433992,967.0,502.84000000000003,18.74122587965539,771.75,401.31,27.03482528794212,1225.475,637.247,37.76332700271203,1431.05,744.146,10.163881034508272,796.025,413.933,37.86966875947173,1647.025,856.4530000000001,50.18627451839994
2002,0.51,9300.17,29.83080423827007,1119.1,570.741,34.77544745799934,895.575,456.74325000000005,44.58224057510871,1355.2,691.152,49.416786559337964,1722.9,878.6790000000001,30.080238049415996,921.925,470.18174999999997,56.60457641514145,1853.0,945.03,65.7190003515937
2003,0.49,9472.84,32.24128544106766,1316.275,644.9747500000001,52.305092030117464,1058.35,518.5915,64.16032642673204,1542.8,755.972,63.42990683501721,2065.775,1012.2297500000001,49.85118210484243,1065.65,522.1685,73.91992938864556,2079.75,1019.0775,78.70385551866208
2004,0.48,9688.88,35.25721385394998,1545.95,742.056,75.2299719818502,1276.775,612.852,93.99852170981511,1804.675,866.2439999999999,87.26907374399137,2406.7,1155.216,71.01896401131029,1215.5,583.4399999999999,94.3277765750162,2261.25,1085.3999999999999,90.33406662393763
2005,0.46,9935.24,38.69641087208409,1761.0,810.0600000000001,91.28851610069533,1468.775,675.6365000000001,113.87297783672649,2012.7749999999999,925.8765,100.16073364586498,2705.725,1244.6335,84.25639165642718,1431.2,658.3520000000001,119.27889819641284,2513.5,1156.21,102.7511987942353
2006,0.45,10225.53,42.748872726257446,1944.275,874.92375,106.6055179107174,1633.625,735.13125,132.70606241423462,2256.55,1015.4475000000001,119.524652131099,2911.85,1310.3325,93.98251639550548,1570.1750000000002,706.5787500000001,135.3418988459041,2777.225,1249.75125,119.15444783568212
